from_module,from_file,to_module,to_path,symbol,import_kind,line_number
hms,apps/web/src/app/dashboard/hms/_components/CompetenceMatrix.tsx,governance,@/app/dashboard/governance/_components/AssignProtocolSheet,AssignProtocolSheet,component,22
hms,apps/web/src/app/dashboard/hms/_components/OversiktEmployee.tsx,my-training,@/app/dashboard/my-training/_hooks/use-assigned-protocols,useAssignedProtocols,hook,10
hms,apps/web/src/app/dashboard/hms/_components/OversiktEmployee.tsx,my-training,@/app/dashboard/my-training/_hooks/use-assigned-protocols,AssignedProtocol,type,10
hms,apps/web/src/app/dashboard/hms/governance/page.tsx,governance,@/app/dashboard/governance/_components/GovernanceOverview,GovernanceOverview,component,9
hms,apps/web/src/app/dashboard/hms/training/page.tsx,my-training,@/app/dashboard/my-training/_components/ProtocolList,ProtocolList,component,6
people,apps/web/src/app/dashboard/people/[id]/page.tsx,organization,../../organization/_components/EntityDetailLayout,EntityDetailLayout,component,30
people,apps/web/src/app/dashboard/people/_components/people-data-table.tsx,contracts,../../contracts/_components/contract-send-drawer,ContractSendDrawer,component,27
season,apps/web/src/app/dashboard/season/[seasonId]/_components/BudgetSetupTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,useSeasonBudget,hook,5
season,apps/web/src/app/dashboard/season/[seasonId]/_components/BudgetSetupTab.tsx,year-wheel,@/app/dashboard/year-wheel/_definitions/season-planning,BUDGET_SETUP_LIMITS,constant,6
season,apps/web/src/app/dashboard/season/[seasonId]/_components/BudgetSetupTab.tsx,year-wheel,@/app/dashboard/year-wheel/_definitions/season-planning,SEASON_BUDGET_STATUS_OPTIONS,constant,6
season,apps/web/src/app/dashboard/season/[seasonId]/_components/BudgetSetupTab.tsx,year-wheel,@/app/dashboard/year-wheel/_definitions/season-planning,SeasonBudgetStatus,type,6
season,apps/web/src/app/dashboard/season/[seasonId]/_components/DayFactorsTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,useDayFactors,hook,5
season,apps/web/src/app/dashboard/season/[seasonId]/_components/DayFactorsTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,DEFAULT_DAY_FACTORS,constant,5
season,apps/web/src/app/dashboard/season/[seasonId]/_components/DayFactorsTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,WEEKDAY_LABELS,constant,5
season,apps/web/src/app/dashboard/season/[seasonId]/_components/DayFactorsTab.tsx,year-wheel,@/app/dashboard/year-wheel/_definitions/season-planning,BUDGET_SETUP_LIMITS,constant,10
season,apps/web/src/app/dashboard/season/[seasonId]/_components/DayFactorsTab.tsx,year-wheel,@/app/dashboard/year-wheel/_definitions/season-planning,getDayFactorTemplate,value,10
season,apps/web/src/app/dashboard/season/[seasonId]/_components/DayFactorsTab.tsx,year-wheel,@/app/dashboard/year-wheel/_definitions/season-planning,DayFactorTemplateId,type,10
season,apps/web/src/app/dashboard/season/[seasonId]/_components/HourFactorsTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,useHourFactors,hook,5
season,apps/web/src/app/dashboard/season/[seasonId]/_components/HourFactorsTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,DEFAULT_HOUR_FACTORS,constant,5
season,apps/web/src/app/dashboard/season/[seasonId]/_components/HourFactorsTab.tsx,settings,@/app/dashboard/settings/_hooks/use-operating-hours,useOperatingHours,hook,6
season,apps/web/src/app/dashboard/season/[seasonId]/_components/HourFactorsTab.tsx,year-wheel,@/app/dashboard/year-wheel/_definitions/season-planning,BUDGET_SETUP_LIMITS,constant,7
season,apps/web/src/app/dashboard/season/[seasonId]/_components/HourFactorsTab.tsx,year-wheel,@/app/dashboard/year-wheel/_definitions/season-planning,getHourFactorTemplate,value,7
season,apps/web/src/app/dashboard/season/[seasonId]/_components/HourFactorsTab.tsx,year-wheel,@/app/dashboard/year-wheel/_definitions/season-planning,HourFactorTemplateId,type,7
season,apps/web/src/app/dashboard/season/[seasonId]/_components/SeasonGoalsTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,useSeasonGoals,hook,16
season,apps/web/src/app/dashboard/season/[seasonId]/_components/SeasonHoursTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,useSeasonOperatingHours,hook,22
season,apps/web/src/app/dashboard/season/[seasonId]/_components/SeasonHoursTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,WEEKDAY_LABELS,constant,23
season,apps/web/src/app/dashboard/season/[seasonId]/_components/SeasonOverviewTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,useSeasonBudget,hook,14
season,apps/web/src/app/dashboard/season/[seasonId]/_components/SeasonOverviewTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,useDayFactors,hook,14
season,apps/web/src/app/dashboard/season/[seasonId]/_components/SeasonOverviewTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,useHourFactors,hook,14
season,apps/web/src/app/dashboard/season/[seasonId]/_components/SeasonOverviewTab.tsx,year-wheel,@/app/dashboard/year-wheel/_hooks,useSeasonOperatingHours,hook,15
season,apps/web/src/app/dashboard/season/[seasonId]/_components/SeasonOverviewTab.tsx,settings,@/app/dashboard/settings/_hooks/use-operating-hours,useOperatingHours,hook,16
season,apps/web/src/app/dashboard/season/[seasonId]/_components/SeasonOverviewTab.tsx,year-wheel,@/app/dashboard/year-wheel/_components/SeasonActivationProposalModal,SeasonActivationProposalModal,component,50
