from\to,ai,billing,close,contracts,cost,governance,handbook,help,hms,komm,my-contract,my-cv,my-profile,my-salary,my-schedule,my-training,notifications,onboarding-assistant,operations,organization,people,reconciliation,reports,schedule,season,settings,setup,shift-clock,website,year-wheel
ai,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
billing,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
contracts,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
cost,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
governance,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,
handbook,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,
help,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,
hms,,,,,,2,,,-,,,,,,,3,,,,,,,,,,,,,,
komm,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,
my-contract,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,
my-cv,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,
my-profile,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,
my-salary,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,
my-schedule,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,
my-training,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,
notifications,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,
onboarding-assistant,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,
operations,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,
organization,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,
people,,,,1,,,,,,,,,,,,,,,,1,-,,,,,,,,,
reconciliation,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,
reports,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
schedule,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,
season,,,,,,,,,,,,,,,,,,,,,,,,,-,2,,,,26
settings,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
setup,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,
shift-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,
website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
year-wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
