from_module,from_file,to_module,to_path,symbol,import_kind,line_number,shared_path
cost,apps/web/src/app/dashboard/cost/page.tsx,_shared,../_data/resolve-page-context,resolveDashboardContext,value,2,_data
governance,apps/web/src/app/dashboard/governance/_components/EmployeeJourneyMap.tsx,_shared,@/app/dashboard/_hooks/use-protocol-journey,useProtocolJourney,hook,12,_hooks
governance,apps/web/src/app/dashboard/governance/_components/EmployeeJourneyMap.tsx,_shared,@/app/dashboard/_hooks/dashboard-types,JourneyPhase,type,13,_hooks
governance,apps/web/src/app/dashboard/governance/_components/GovernanceOverview.tsx,_shared,@/app/dashboard/_hooks/dashboard-types,ProtocolOverviewItem,type,16,_hooks
governance,apps/web/src/app/dashboard/governance/_components/ProtocolEmployeeList.tsx,_shared,@/app/dashboard/_hooks/use-protocol-assignees,useProtocolAssignees,hook,13,_hooks
governance,apps/web/src/app/dashboard/governance/_components/ProtocolEmployeeList.tsx,_shared,@/app/dashboard/_hooks/dashboard-types,ProtocolAssignee,type,14,_hooks
governance,apps/web/src/app/dashboard/governance/_hooks/use-assignment-mutations.ts,_shared,@/app/dashboard/_hooks/dashboard-keys,dashboardKeys,value,17,_hooks
governance,apps/web/src/app/dashboard/governance/_hooks/use-governance-mutations.ts,_shared,@/app/dashboard/_hooks/dashboard-keys,dashboardKeys,value,18,_hooks
governance,apps/web/src/app/dashboard/governance/_hooks/use-governance-templates.ts,_shared,@/app/dashboard/_hooks/dashboard-keys,dashboardKeys,value,18,_hooks
handbook,apps/web/src/app/dashboard/handbook/_components/ChapterReader.tsx,_shared,@/app/dashboard/_components/document-mode/chapters,CHAPTERS,constant,21,_components
handbook,apps/web/src/app/dashboard/handbook/_components/ChapterReader.tsx,_shared,@/app/dashboard/_components/document-mode/chapters,ChapterKey,type,21,_components
handbook,apps/web/src/app/dashboard/handbook/page.tsx,_shared,../_data/resolve-page-context,resolveDashboardContext,value,4,_data
hms,apps/web/src/app/dashboard/hms/_components/SessionSignoffDrawer.tsx,_shared,@/app/dashboard/_actions/signoff-session-action,signoffSessionAction,action,12,_actions
hms,apps/web/src/app/dashboard/hms/_hooks/use-governance-filtered.ts,_shared,@/app/dashboard/_hooks/use-governance-overview,useGovernanceOverview,hook,4,_hooks
hms,apps/web/src/app/dashboard/hms/governance/page.tsx,_shared,@/app/dashboard/_hooks/use-governance-overview,useGovernanceOverview,hook,10,_hooks
hms,apps/web/src/app/dashboard/hms/page.tsx,_shared,../_data/resolve-page-context,resolveDashboardContext,value,2,_data
organization,apps/web/src/app/dashboard/organization/departments/[id]/_components/DepartmentHoursTab.tsx,_shared,@/app/dashboard/_hooks/dashboard-keys,dashboardKeys,value,19,_hooks
people,apps/web/src/app/dashboard/people/page.tsx,_shared,../_data/resolve-page-context,resolveDashboardContext,value,4,_data
reconciliation,apps/web/src/app/dashboard/reconciliation/_actions/override-reconciliation-action.ts,_shared,@/app/dashboard/_actions/_shared,resolveCurrentProfile,action,6,_actions
reconciliation,apps/web/src/app/dashboard/reconciliation/_actions/override-reconciliation-action.ts,_shared,@/app/dashboard/_actions/_shared,gateAction,action,6,_actions
reconciliation,apps/web/src/app/dashboard/reconciliation/_actions/override-wizard-blocker-action.ts,_shared,@/app/dashboard/_actions/_shared,resolveCurrentProfile,action,6,_actions
reconciliation,apps/web/src/app/dashboard/reconciliation/_actions/override-wizard-blocker-action.ts,_shared,@/app/dashboard/_actions/_shared,gateAction,action,6,_actions
